| Epoch Val: 1 || Val Corpus PPL: 1859.751594222 || Val Per doc PPL: 1949.34384 || Best Val PPL: 1949.3 || KLD Val: 21.124 |
| Epoch Val: 25 || Val Corpus PPL: 1057.449798229 || Val Per doc PPL: 577.67853 || Best Val PPL: 563.11 || KLD Val: 35.566 |
| Epoch Val: 26 || Val Corpus PPL: 1048.089310939 || Val Per doc PPL: 572.96717 || Best Val PPL: 563.11 || KLD Val: 33.16 |
| Epoch Val: 27 || Val Corpus PPL: 1047.352848692 || Val Per doc PPL: 568.68699 || Best Val PPL: 563.11 || KLD Val: 33.37 |
| Epoch Val: 28 || Val Corpus PPL: 1052.433371765 || Val Per doc PPL: 569.31242 || Best Val PPL: 563.11 || KLD Val: 33.247 |
| Epoch Val: 29 || Val Corpus PPL: 1050.096297245 || Val Per doc PPL: 560.42437 || Best Val PPL: 560.42 || KLD Val: 33.072 |
| Epoch Val: 30 || Val Corpus PPL: 1055.128472228 || Val Per doc PPL: 564.42759 || Best Val PPL: 560.42 || KLD Val: 34.943 |
| Epoch Val: 31 || Val Corpus PPL: 1063.361505209 || Val Per doc PPL: 565.96777 || Best Val PPL: 560.42 || KLD Val: 35.47 |
| Epoch Val: 32 || Val Corpus PPL: 1085.449657734 || Val Per doc PPL: 579.25114 || Best Val PPL: 560.42 || KLD Val: 36.149 |
| Epoch Val: 33 || Val Corpus PPL: 1106.686622782 || Val Per doc PPL: 584.53518 || Best Val PPL: 560.42 || KLD Val: 35.877 |
| Epoch Val: 34 || Val Corpus PPL: 1119.135955783 || Val Per doc PPL: 593.27675 || Best Val PPL: 560.42 || KLD Val: 33.125 |
| Epoch Val: 35 || Val Corpus PPL: 1081.400534492 || Val Per doc PPL: 571.97718 || Best Val PPL: 560.42 || KLD Val: 33.685 |
| Epoch Val: 36 || Val Corpus PPL: 1090.246553502 || Val Per doc PPL: 579.89168 || Best Val PPL: 560.42 || KLD Val: 33.154 |
| Epoch Val: 37 || Val Corpus PPL: 1074.150863460 || Val Per doc PPL: 566.88106 || Best Val PPL: 560.42 || KLD Val: 33.488 |
| Epoch Val: 38 || Val Corpus PPL: 1065.383511143 || Val Per doc PPL: 566.67997 || Best Val PPL: 560.42 || KLD Val: 35.372 |
| Epoch Val: 39 || Val Corpus PPL: 1091.789666269 || Val Per doc PPL: 573.84685 || Best Val PPL: 560.42 || KLD Val: 34.574 |
| Epoch Val: 40 || Val Corpus PPL: 1111.853972693 || Val Per doc PPL: 587.86613 || Best Val PPL: 560.42 || KLD Val: 33.328 |


Test Corpus PPL: 1200.135000931 || Test Per doc PPL: 561.87767 || KLD Test: 29.802 |
